,Active Vehicles,Application Category,Application ID,Application or Renewal,Building Number,Business Name,City,Contact Phone,Description,End Date,Latitude,License Category,License Number,License Type,Longitude,Start Date,State,Status,Street,Street 2,Temp Op Letter Expiration,Temp Op Letter Issued,Unit,Unit Type,Zip
133,,Basic,22610-2018-RTRD,Renewal,240,"J.W. MARKET, INC.",NEW YORK,212-228-9303,,2018-10-26,40.7297248,Tobacco Retail Dealer,1045212-DCA,Business,-73.99965999999999,2018-10-25,NY,Issued,SULLIVAN ST,,,,,,10012.0
165,,Special,18809-2019-RADO,Renewal,45,BILLMAR AMUSEMENTS NY PARTYWORKS INC,DEER PARK,6315011414,,2019-04-30,,Amusement Device Portable,1196635-DCA,Business,,2019-04-29,NY,Issued,W JEFRYN BLVD,,,,,,11729.0
174,,Special,19025-2019-RADO,Renewal,45,"N.Y. PARTY WORKS, INC.",DEER PARK,6315011414,,2019-05-01,,Amusement Device Portable,1174450-DCA,Business,,2019-04-30,NY,Issued,W JEFRYN BLVD,,,,,,11729.0
209,,Basic,34314-2018-RELE,Renewal,10512,ELITE WIRELESS GROUP NY LLC,OZONE PARK,718-484-7746,,2019-01-08,40.67876629999999,Electronics Store,2047030-DCA,Business,-73.833799,2018-12-31,NY,Issued,ROCKAWAY BLVD,,,,,,11417.0
234,,Special,18869-2019-RADO,Renewal,45,"N.Y. PARTY WORKS, INC.",DEER PARK,6315011414,,2019-05-01,,Amusement Device Portable,1174487-DCA,Business,,2019-04-30,NY,Issued,W JEFRYN BLVD,,,,,,11729.0
274,,Basic,586-2017-RELE,Renewal,1535,T-MOBILE NORTHEAST LLC,NEW YORK,3026368910,,2017-01-06,40.758266600000006,Electronics Store,2030527-DCA,Business,-73.985467,2017-01-05,NY,Issued,BROADWAY,,,,,,10036.0
285,,Special,18893-2019-RADO,Renewal,45,"BILLMAR AMUSEMENTS N.Y. PARTY WORKS, INC.",DEER PARK,6315011414,,2019-05-01,,Amusement Device Portable,1315202-DCA,Business,,2019-04-30,NY,Issued,W JEFRYN BLVD,,,,,,11729.0
298,,Basic,33670-2016-RELE,Renewal,25,"GUITAR CENTER STORES, INC.",NEW YORK,212-463-7500,,2017-01-07,40.7364466,Electronics Store,1442593-DCA,Business,-73.994648,2016-12-30,NY,Issued,W 14TH ST,,,,,,10011.0
324,,Basic,33587-2016-RELE,Renewal,20520,T-MOBILE NORTHEAST LLC,HOLLIS,3026368910,,2017-01-07,40.713684,Electronics Store,1379850-DCA,Business,-73.754775,2016-12-30,NY,Issued,JAMAICA AVE,,,,,,11423.0
333,,Basic,33647-2016-RELE,Renewal,16637,T-MOBILE NORTHEAST LLC,JAMAICA,800-927-9801,,2017-01-07,40.7059268,Electronics Store,1343449-DCA,Business,-73.793717,2016-12-30,NY,Issued,JAMAICA AVE,,,,,,11432.0
350,,Basic,33658-2016-RELE,Renewal,6965,T-MOBILE NORTHEAST LLC,MASPETH,3026368910,,2017-01-07,40.727078999999996,Electronics Store,1403816-DCA,Business,-73.893461,2016-12-30,NY,Issued,GRAND AVE,,,,,,11378.0
354,,Special,19022-2019-RADO,Renewal,45,"BILLMAR AMUSEMENTS N.Y. PARTY WORKS, INC.",DEER PARK,6315011414,,2019-05-01,,Amusement Device Portable,1174471-DCA,Business,,2019-04-30,NY,Issued,W JEFRYN BLVD,,,,,,11729.0
382,,Special,18816-2019-RADO,Renewal,45,"N.Y. PARTY WORKS, INC.",DEER PARK,6315011414,,2019-04-30,,Amusement Device Portable,1174481-DCA,Business,,2019-04-29,NY,Issued,W JEFRYN BLVD,,,,,,11729.0
396,,Special,17549-2019-RADO,Renewal,50,SEND IN THE CLOWNS ENTERTAINMENT CORP.,NEW HYDE PARK,5163541515,,2019-04-12,,Amusement Device Portable,2069378-DCA,Business,,2019-04-11,NY,Issued,NASSAU TERMINAL RD,,,,,,11040.0
401,,Basic,33654-2016-RELE,Renewal,25105,T-MOBILE NORTHEAST LLC,BELLEROSE,3026368910,,2017-01-07,,Electronics Store,1343416-DCA,Business,,2016-12-30,NY,Issued,Jamaica Ave,,,,,,11426.0
429,,Basic,33300-2016-RELE,Renewal,10313,ICELL INCORPORATED,CORONA,5162100055,,2017-01-07,40.749899,Electronics Store,2010675-DCA,Business,-73.862498,2016-12-28,NY,Issued,ROOSEVELT AVE,,,,,,11368.0
495,,Basic,621-2017-RELE,Renewal,563,T-MOBILE NORTHEAST LLC,BROOKLYN,3026368910,,2017-01-06,40.684675799999994,Electronics Store,1414453-DCA,Business,-73.979011,2017-01-05,NY,Issued,ATLANTIC AVE,,,,,,11217.0
502,,Basic,32957-2016-RELE,Renewal,9709,J & V WIRELESS CORP.,CORONA,9175007940,,2017-01-06,40.7492937,Electronics Store,1438054-DCA,Business,-73.868263,2016-12-27,NY,Issued,ROOSEVELT AVE,,,,,,11368.0
504,,Basic,11014-2016-REHD,Renewal,2513,ACCESS INTERNET CAFE CORP,ASTORIA,7186068866,,2016-09-21,40.7633174,Electronic & Appliance Service,2020738-DCA,Business,-73.928203,2016-08-23,NY,Issued,BROADWAY,,,,,,11106.0
537,,Basic,2516-2016-ASHG,Application,266,"DYNAMIC CELLULAR 37TH STREET, INC.",NEW YORK,6463548577,,2016-03-16,40.753631299999995,Secondhand Dealer - General,2034425-DCA,Business,-73.99100899999999,2016-03-07,NY,Issued,W 37TH ST,,,,,,10018.0
548,,Special,1209-2019-RHIC,Renewal,15,CHOUDHRY BUILDERS INC,VALLEY STREAM,5162632191,,2019-01-10,,Home Improvement Contractor,2033223-DCA,Business,,2019-01-09,NY,Issued,BRADFORD RD,,,,,,11580.0
580,,Basic,34305-2018-RELE,Renewal,2368,ELITE WIRELESS GROUP NY LLC,BRONX,718-484-7746,,2019-01-08,40.8364786,Electronics Store,2047032-DCA,Business,-73.847043,2018-12-31,NY,Issued,WESTCHESTER AVE,,,,,,10462.0
